,Sex,Sex,Sex,Sex
Country,Male,Female,Unknown,Grand Total
ARGENTINA,214,470,,684
"ARGENTINA, CHILE",74,308,,382
ARMENIA,1,3,,4
AUSTRALIA,"1,382","2,954",1,"4,337"
AUSTRALIA & SOLOMON ISLANDS,9,44,,53
AUSTRIA,91,128,,219
AUSTRIA & CZECH REPUBLIC & GERMANY,2,7,,9
BARBADOS,123,424,,547
BELGIUM,1,1,,2
BOTSWANA,14,35,,49
BRAZIL,597,"1,249",2,"1,848"
CANADA,124,234,1,359
CHILE,697,"1,932",,"2,629"
CHINA,"1,646","2,171",4,"3,821"
COSTA RICA,781,"1,848",4,"2,633"
CYPRUS,28,124,,152
CZECH REPUBLIC,151,282,1,434
DENMARK,530,"1,021",1,"1,552"
DOMINICAN REPUBLIC,6,47,,53
ECUADOR,5,15,,20
EGYPT,211,304,,515
FRANCE,"2,964","9,991",15,"12,970"
FRANCE & NETHERLANDS,5,1,,6
"FRANCE, UNITED KINGDOM - ENGLAND",175,609,1,785
GERMANY,"2,355","3,297",6,"5,658"
GERMANY & NETHERLANDS,2,4,,6
GHANA,292,891,,"1,183"
GREECE,5,6,,11
HONG KONG,"1,378","2,123",1,"3,502"
HUNGARY,297,500,,797
ICELAND,4,6,,10
INDIA,282,512,,794
INDONESIA,81,115,,196
IRELAND,653,"2,057",5,"2,715"
ISRAEL,726,"1,111",,"1,837"
ITALY,"3,159","10,590",10,"13,759"
ITALY & SPAIN & TURKEY,7,20,,27
"ITALY, SPAIN",255,914,,"1,169"
JAPAN,"2,980","3,167",1,"6,148"
JORDAN,49,101,,150
KENYA,94,162,1,257
"KOREA, SOUTH","2,207","4,722",15,"6,944"
LEBANON,55,40,,95
MEXICO,"1,030","2,638",1,"3,669"
"MEXICO, UNITED STATES OF AMERICA",2,19,,21
MOROCCO,15,57,,72
NETHERLANDS,889,"1,722",2,"2,613"
NEW ZEALAND,499,971,,"1,470"
NORWAY,198,266,,464
PERU,35,52,,87
PHILIPPINES,47,85,,132
RUSSIA,374,477,1,852
SENEGAL,3,32,,35
SIERRA LEONE,1,3,,4
SINGAPORE,579,914,1,"1,494"
SOUTH AFRICA,305,807,,"1,112"
SPAIN,"3,837","11,144",6,"14,987"
SWEDEN,"1,362","1,703",2,"3,067"
SWITZERLAND,28,119,,147
TAIWAN,494,746,,"1,240"
TANZANIA,6,16,,22
THAILAND,357,830,1,"1,188"
TOGO,25,87,,112
TURKEY,162,286,,448
UNITED KINGDOM - ENGLAND,"5,315","13,553",7,"18,875"
UNITED KINGDOM - SCOTLAND,"1,089","2,527",3,"3,619"
VIETNAM,83,179,,262
VIRTUAL,5,17,3,25
Grand Total,"41,452","93,790",96,"135,338"